DIRECCIÓN,ESQUINA,COLONIA,ALCALDIA,TIPO DE POSTE,BOTON,ALTAVOZ,LONGITUD ,LATITUD ,ESTATUS CONECTIVIDAD
AV. JUAREZ,ENTRE C. JOSE AZUETA Y C. LUIS MOYA,CENTRO,CUAUHTEMOC,9m,SIN BOTON,CON ALTAVOZ,"-99,14582","19,435098",WIFI GRATUITO_ACTIVO
AV. JUAREZ,ENTRE C. JOSE MARIA MARROQUI Y C. LUIS MOYA,CENTRO,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,143858","19,434573",WIFI GRATUITO_ACTIVO
AV. JUAREZ,C. DOLORES,CENTRO,CUAUHTEMOC,9m,SIN BOTON,CON ALTAVOZ,"-99,142704","19,434374",WIFI GRATUITO_ACTIVO
AV. JUAREZ,C. LOPEZ,CENTRO,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,14188","19,434242",WIFI GRATUITO_ACTIVO
AV. INDEPENDENCIA,C. JOSE AZUETA,CENTRO,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,146751","19,433729",WIFI GRATUITO_ACTIVO
C. INDEPENDENCIA,C. DOLORES,CENTRO,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,142696","19,433091",WIFI GRATUITO_ACTIVO
C. SOLEDAD, ESQ.  C. SANTISIMA,CENTRO,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,12703","19,432311",WIFI GRATUITO_ACTIVO
C. REPUBLICA DE GUATEMALA ,C. LORETO,CENTRO,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,127634","19,434369",WIFI GRATUITO_ACTIVO
C. LAS CRUCES,C. MESONES,CENTRO,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,129471","19,427922",WIFI GRATUITO_ACTIVO
CALLE 3,EJE 1 PTE. CALZ. VALLEJO,PORVENIR,AZCAPOTZALCO,9m,CON BOTON,CON ALTAVOZ,"-99,14477","19,469535",WIFI GRATUITO_ACTIVO
C. PUREPECHA,C. RIO DE LA LAJA,CHALMA DE GUADALUPE,GUSTAVO A. MADERO,9m,CON BOTON,CON ALTAVOZ,"-99,159368","19,548879",WIFI GRATUITO_ACTIVO
AV. DEL CASTILLO,C. BAJADA DEL CERRITO,COCOYOTES,GUSTAVO A. MADERO,9m,SIN BOTON,CON ALTAVOZ,"-99,133984","19,548495",WIFI GRATUITO_ACTIVO
AVENIDA AHUEHUETES,C. AHUEHUETES,TLAPEXCO,GUSTAVO A. MADERO,9m,CON BOTON,CON ALTAVOZ,"-99,131155","19,544997",WIFI GRATUITO_ACTIVO
